baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	ensembl_gene_id	external_gene_name	description	entrez_id
0	NA	NA	NA	NA	NA	ENSG00000126233	SLURP1	secreted LY6/PLAUR domain containing 1	57152
1.80117040738136	0.978135008578157	1.73724658024382	0.56303752138679	0.573409334263554	NA	ENSG00000223697	NA	NA	NA
0	NA	NA	NA	NA	NA	ENSG00000271240	NA	NA	NA
0	NA	NA	NA	NA	NA	ENSG00000155897	ADCY8	adenylate cyclase 8	114
0	NA	NA	NA	NA	NA	ENSG00000253259	NA	NA	NA
0	NA	NA	NA	NA	NA	ENSG00000253593	LOC101927822	uncharacterized LOC101927822	101927822
0.589412950940445	-2.38100408185105	3.72788112193319	-0.638701719280233	0.523016994043969	NA	ENSG00000286535	LOC124902026	uncharacterized LOC124902026	124902026
0	NA	NA	NA	NA	NA	ENSG00000254249	NA	NA	NA
6.34704638498625	0.109235302379133	0.779564322830215	0.140123526924056	0.888562392179581	NA	ENSG00000180155	LYNX1	Ly6/neurotoxin 1	66004
0	NA	NA	NA	NA	NA	ENSG00000286122	NA	NA	NA
0	NA	NA	NA	NA	NA	ENSG00000284505	LYNX1-SLURP2	LYNX1-SLURP2 readthrough	111188157
69.5574143801638	-0.140418069541111	0.233903679286686	-0.600324329952101	0.548290107094704	NA	ENSG00000178764	ZHX2	zinc fingers and homeoboxes 2	22882
0	NA	NA	NA	NA	NA	ENSG00000286266	NA	NA	NA
0.772613681214425	-2.77508047784366	3.13990497458765	-0.883810338307486	0.376798604611599	NA	ENSG00000253824	NA	NA	NA
0	NA	NA	NA	NA	NA	ENSG00000253992	NA	NA	NA
0	NA	NA	NA	NA	NA	ENSG00000261710	NA	NA	NA
0.386306840607212	-1.77475446913971	4.52487826499004	-0.392221484248839	0.694894571214852	NA	ENSG00000253286	NA	NA	NA
0	NA	NA	NA	NA	NA	ENSG00000259631	NA	NA	NA
0	NA	NA	NA	NA	NA	ENSG00000206144	NA	NA	NA
0	NA	NA	NA	NA	NA	ENSG00000254227	NA	NA	NA
0	NA	NA	NA	NA	NA	ENSG00000253868	FER1L6-AS2	FER1L6 antisense RNA 2	157376
0	NA	NA	NA	NA	NA	ENSG00000253470	LOC105375747	uncharacterized LOC105375747	105375747
0	NA	NA	NA	NA	NA	ENSG00000271560	NA	NA	NA
